Published,Group,Headline,Link,Website,Authors,Pinterest,LinkedIn,Twitter Influencer Shares,Total Facebook,Likes,Shares,Comments,Total Interactions
2018-08-22T10:38:39+01:00,Telkom,NR 064 2018 Idul Adha 1439 H TelkomGroup Serahkan 942 Ekor Hewan,https://www.telkom.co.id/servlet/tk/id_ID/newsarticle/nr_064_2018_idul_adha_1439_h_telkomgroup_serahkan_942_ekor_hewan.html,telkom.co.id,,0,0,92,0,0,0,0,92
2018-09-17T08:51:14+01:00,Telkom,Telkom University Raih Perguruan Tinggi Terbaik di WMM 2018,https://www.medcom.id/pendidikan/news-pendidikan/ob3VGEyN-telkom-university-raih-perguruan-tinggi-terbaik-di-wmm-2018,medcom.id,medcom.id developer,0,0,7,84,79,2,3,91
2018-04-19T14:26:46+01:00,Telkom,"CSR Telkom Dinilai Tepat Sasaran, Efektif dan Berdampak Positif",https://www.jawapos.com/read/2018/04/19/205837/csr-telkom-dinilai-tepat-sasaran-efektif-dan-berdampak-positif,jawapos.com,Fadhil Al Birra,0,0,1,53,33,18,2,54
2018-04-17T10:56:07+01:00,Telkom,BERITA FOTO: Demo Mahasiswa Tuntut Usut Dana CSR Telkom - Wartakota,http://wartakota.tribunnews.com/2018/04/17/berita-foto-demo-mahasiswa-tuntut-usut-dana-csr-telkom,wartakota.tribunnews.com,,0,0,0,44,31,9,4,44
2018-04-19T14:43:26+01:00,Telkom,Program CSR Telkom Dinilai Efektif dan Berdampak Poistif | Republika Online,http://republika.co.id/share/p7fq41313,republika.co.id,,0,0,3,36,29,7,0,39
2018-04-24T07:52:34+01:00,Telkom,NR 028 2018 Kegiatan CSR Telkom Dinilai Efektif dan Berdampak Po,https://www.telkom.co.id/servlet/tk/id_ID/newsarticle/nr_028_2018_kegiatan_csr_telkom_dinilai_efektif_dan_berdampak_po.html,telkom.co.id,,0,0,11,0,0,0,0,11
2018-04-23T23:55:46+01:00,Telkom,Begini Penilaian DPR Terhadap Gelaran CSR Telkom Selama Ini,https://www.suara.com/pressrelease/2018/04/24/055337/begini-penilaian-dpr-terhadap-gelaran-csr-telkom-selama-ini,suara.com,,0,0,0,6,3,2,1,6
2018-03-09T09:01:48Z,Telkom,Telkom dan Menneg BUMN Resmikan Gereja Bersejarah St. Martinus Hinga - Selular.ID,https://selular.id/2018/03/telkom-dan-menneg-bumn-resmikan-gereja-bersejarah-st-martinus-hinga/,selular.id,,0,0,0,4,3,1,0,4
2018-04-21T09:02:04+01:00,Telkom,Kegiatan CSR Telkom Dinilai Efektif dan Berdampak Positif - Selular.ID,https://selular.id/2018/04/kegiatan-csr-telkom-dinilai-efektif-dan-berdampak-positif/,selular.id,,0,0,0,4,3,1,0,4
2018-04-24T09:18:37+01:00,Telkom,"Komisi VI DPR Angkat Bicara Soal CSR Telkom, Begini Katanya",https://www.jawapos.com/read/2018/04/24/207034/komisi-vi-dpr-angkat-bicara-soal-csr-telkom-begini-katanya,jawapos.com,Fadhil Al Birra,0,0,2,0,0,0,0,2
2018-04-18T04:21:53+01:00,Telkom,PBNU Minta PT Telkom Tidak Diskrimanasi Kelola Dana CSR - Poskota News,http://poskotanews.com/2018/04/18/pbnu-minta-pt-telkom-tidak-diskrimanasi-kelola-dana-csr/,poskotanews.com,,0,0,0,1,0,1,0,1
2018-11-12T21:30:14Z,Telkom,Trans Java Toll Expedition | Jakarta Globe,https://jakartaglobe.id/archive/trans-java-toll-expedition/,jakartaglobe.id,,0,0,1,0,0,0,0,1
2018-09-17T08:32:42+01:00,Telkom,Telkom University Raih Perguruan Tinggi Terbaik di WMM 2018,http://news.metrotvnews.com/peristiwa/gNQn1qab-telkom-university-raih-perguruan-tinggi-terbaik-di-wmm-2018,news.metrotvnews.com,,0,0,0,0,0,0,0,0
2018-04-19T18:23:45+01:00,Telkom,Kegiatan CSR Telkom Dinilai Efektif dan Berdampak Positif,https://autotekno.sindonews.com/read/1299329/132/kegiatan-csr-telkom-dinilai-efektif-dan-berdampak-positif-1524156609,autotekno.sindonews.com,,0,0,0,0,0,0,0,0
2018-04-26T07:30:22+01:00,Telkom,"Masih Jadi Tanda Tanya, Telkom Diminta Jelaskan Penyaluran Dana CSR",http://www.pikiran-rakyat.com/ekonomi/2018/04/26/masih-jadi-tanda-tanya-telkom-diminta-jelaskan-penyaluran-dana-csr-423444,pikiran-rakyat.com,,0,0,0,0,0,0,0,0
2018-04-20T05:34:31+01:00,Telkom,Kegiatan CSR Telkom Dinilai Efektif dan Berdampak Positif | indopos.co.id,https://indopos.co.id/read/2018/04/20/135368/kegiatan-csr-telkom-dinilai-efektif-dan-berdampak-positif,indopos.co.id,,0,0,0,0,0,0,0,0
2018-04-20T01:14:37+01:00,Telkom,Kegiatan CSR Telkom Efektif dan Berdampak Positif,https://ekonomi.inilah.com/read/detail/2450782/kegiatan-csr-telkom-efektif-dan-berdampak-positif/,ekonomi.inilah.com,,0,0,0,0,0,0,0,0
2018-04-20T05:37:22+01:00,Telkom,Kegiatan CSR Telkom Dinilai Efektif dan Berdampak Positif | indopos.co.id,http://indopos.co.id/read/2018/04/20/135368/kegiatan-csr-telkom-dinilai-efektif-dan-berdampak-positif,indopos.co.id,,0,0,0,0,0,0,0,0
