Published,Group,Headline,Link,Website,Authors,Pinterest,LinkedIn,Twitter Influencer Shares,Total Facebook,Likes,Shares,Comments,Total Interactions
2021-07-19T08:29:20+01:00,Goto,Gojek dan Grab Akur soal Ini,https://www.24berita.com/tekno/gojek-dan-grab-akur-soal-ini/446371-berita,24berita.com,,0,0,0,0,0,0,0,0
2021-06-16T10:48:28+01:00,Goto,How Gojek is leading the tech industry in setting sustainability standards,https://www.thejakartapost.com/ms/gojek-2019/2021/06/16/how-gojek-is-leading-the-tech-industry-in-setting-sustainability-standards.html,thejakartapost.com,The Jakarta Post,0,0,0,0,0,0,0,0
2021-12-23T08:51:05Z,Goto,GoTo Head of Sustainability drives ESG commitment forward,https://www.thejakartapost.com/ms/gojek-2019/2021/12/23/goto-head-of-sustainability-drives-esg-commitment-forward.html,thejakartapost.com,The Jakarta Post,0,0,0,0,0,0,0,0
2021-07-27T11:44:32+01:00,BCA,"BCA salurkan kredit ekonomi berkelanjutan (ESG) Rp 136,2 triliun hingga semester I",https://siapgrak.com/artikel/Yo3ezQ,siapgrak.com,,0,0,0,0,0,0,0,0
2021-10-05T11:55:00+01:00,BCA,"Makin Kuat, Pembiayaan Berkelanjutan BCA (BBCA) Tumbuh 19,1 Persen - FINROLL",https://www.finroll.com/financeroll/perbankan/makin-kuat-pembiayaan-berkelanjutan-bca-bbca-tumbuh-191-persen/,finroll.com,,0,0,0,0,0,0,0,0
2021-04-14T12:23:22+01:00,BRI,"Gelar Festival dan Kompetisi, BRI Ajak Pekerja Peduli Isu ESG",https://www.cnnindonesia.com/ekonomi/20210414181330-83-630013/gelar-festival-dan-kompetisi-bri-ajak-pekerja-peduli-isu-esg,cnnindonesia.com,,0,0,3,29,28,1,0,32
2021-02-25T14:32:38Z,BRI,"Komitmen Praktik ESG, BRI Kucurkan Rp562 T",https://www.cnnindonesia.com/ekonomi/20210225211621-83-611089/komitmen-praktik-esg-bri-kucurkan-rp562-t,cnnindonesia.com,,0,0,5,16,14,2,0,21
2021-02-25T13:05:02Z,BRI,BRI Salurkan Kredit Rp 562 Triliun untuk Aktivitas Bisnis Berkelanjutan,https://kumparan.com/kumparanbisnis/bri-salurkan-kredit-rp-562-triliun-untuk-aktivitas-bisnis-berkelanjutan-1vFJeemJPcf,kumparan.com,,0,0,1,9,7,2,0,10
2021-10-23T10:35:44+01:00,BRI,BRI Salurkan Lebih dari Rp588 Triliun Kredit Berbasis ESG | RADAR BOGOR | Berita Bogor Terpercaya,https://www.radarbogor.id/2021/10/23/bri-salurkan-lebih-dari-rp588-triliun-kredit-berbasis-esg/,radarbogor.id,,0,0,1,8,0,0,0,9
2021-03-14T08:45:03Z,BRI,BRI Raih Nilai ESG Risk Rating Terbaik Pada Indeks IDX ESG Leaders,https://kumparan.com/kumparanbisnis/bri-raih-nilai-esg-risk-rating-terbaik-pada-indeks-idx-esg-leaders-1vLyNOcnAwa,kumparan.com,,0,0,2,3,1,2,0,5
